name,address,rating
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8
big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",5.0
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, United States",4.5
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",4.1
ClusterTruck - Broad Ripple,"2101 E 62nd St, Indianapolis, IN 46220, United States",4.9
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, United States",4.5
El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, United States",5.0
Pronto Taco,"403 Main St, Beech Grove, IN 46107, United States",4.8
Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, United States",4.5
ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, United States",4.9
